UF;Microrregião;Variável;Quartel;Ano;Nível;Território;Produto;Produtividade (Área Colhida);Qtde Produzida;Área Colhida;Área Plantada
BA;Seabra;Quantidade Produzida;Q1;2016;BRASIL;BRASIL;Cana-de-Açúcar;43,066167291;172480;4005;4005
BA;Jequié;Quantidade Produzida;Q1;2016;BRASIL;BRASIL;Cana-de-Açúcar;41,543977055;43455;1046;1046
BA;Livramento do Brumado;Quantidade Produzida;Q1;2016;BRASIL;BRASIL;Cana-de-Açúcar;53,842962963;36344;675;675
BA;Itapetinga;Quantidade Produzida;Q1;2016;BRASIL;BRASIL;Cana-de-Açúcar;38,973827160;78922;2025;2025
CE;Ibiapaba;Quantidade Produzida;Q1;2016;BRASIL;BRASIL;Cana-de-Açúcar;38,239520958;255440;6680;6680
CE;Meruoca;Quantidade Produzida;Q1;2016;BRASIL;BRASIL;Cana-de-Açúcar;31,588235294;537;17;17
CE;Itapipoca;Quantidade Produzida;Q1;2016;BRASIL;BRASIL;Cana-de-Açúcar;30,451612903;5664;186;186
CE;Uruburetama;Quantidade Produzida;Q1;2016;BRASIL;BRASIL;Cana-de-Açúcar;27,157894737;516;19;19
CE;Cascavel;Quantidade Produzida;Q1;2016;BRASIL;BRASIL;Cana-de-Açúcar;46,8;79560;1700;1700
CE;Médio Jaguaribe;Quantidade Produzida;Q1;2016;BRASIL;BRASIL;Cana-de-Açúcar;22;242;11;11
CE;Barro;Quantidade Produzida;Q1;2016;BRASIL;BRASIL;Cana-de-Açúcar;33,571428571;1175;35;35
PB;Piancó;Quantidade Produzida;Q1;2016;BRASIL;BRASIL;Cana-de-Açúcar;38,333333333;575;15;15
PB;Serra do Teixeira;Quantidade Produzida;Q1;2016;BRASIL;BRASIL;Cana-de-Açúcar;36,666666667;1100;30;30
PB;Guarabira;Quantidade Produzida;Q1;2016;BRASIL;BRASIL;Cana-de-Açúcar;45,477031802;64350;1415;1415
PE;Médio Capibaribe;Quantidade Produzida;Q1;2016;BRASIL;BRASIL;Cana-de-Açúcar;56,073298429;85680;1528;1528
PE;Brejo Pernambucano;Quantidade Produzida;Q1;2016;BRASIL;BRASIL;Cana-de-Açúcar;42,084468665;772250;18350;18350
PE;Mata Setentrional Pernambucana;Quantidade Produzida;Q1;2016;BRASIL;BRASIL;Cana-de-Açúcar;57,453931791;4391836;76441;76441
PI;Valença do Piauí;Quantidade Produzida;Q1;2016;BRASIL;BRASIL;Cana-de-Açúcar;9,458221024;3509;371;371
RN;Seridó Ocidental;Quantidade Produzida;Q1;2016;BRASIL;BRASIL;Cana-de-Açúcar;31,5;63;2;2
RN;Agreste Potiguar;Quantidade Produzida;Q1;2016;BRASIL;BRASIL;Cana-de-Açúcar;61,646153846;52091;845;845
RN;Litoral Nordeste;Quantidade Produzida;Q1;2016;BRASIL;BRASIL;Cana-de-Açúcar;73,636363636;162000;2200;2200
MA;Pindaré;Quantidade Produzida;Q1;2016;BRASIL;BRASIL;Cana-de-Açúcar;41,466666667;622;15;15
MA;Imperatriz;Quantidade Produzida;Q1;2016;BRASIL;BRASIL;Cana-de-Açúcar;62,177736202;66468;1069;1069
MA;Médio Mearim;Quantidade Produzida;Q1;2016;BRASIL;BRASIL;Cana-de-Açúcar;40,319693095;15765;391;391
PI;Baixo Parnaíba Piauiense;Quantidade Produzida;Q1;2016;BRASIL;BRASIL;Cana-de-Açúcar;37,980652963;31410;827;827
PI;Litoral Piauiense;Quantidade Produzida;Q1;2016;BRASIL;BRASIL;Cana-de-Açúcar;43,333333333;1820;42;42
PI;Alto Parnaíba Piauiense;Quantidade Produzida;Q1;2016;BRASIL;BRASIL;Cana-de-Açúcar;51,752577320;5020;97;97
PI;Alto Médio Gurguéia;Quantidade Produzida;Q1;2016;BRASIL;BRASIL;Cana-de-Açúcar;55,337690632;25400;459;459
PA;Itaituba;Quantidade Produzida;Q1;2016;BRASIL;BRASIL;Cana-de-Açúcar;36,764705882;2500;68;68
PA;São Félix do Xingu;Quantidade Produzida;Q1;2016;BRASIL;BRASIL;Cana-de-Açúcar;40;2400;60;60
