UF;Microrregião;Variável;Quartel;Ano;Nível;Território;Produto;Produtividade (Área Colhida);Qtde Produzida;Área Colhida;Área Plantada
SP;Votuporanga;Quantidade Produzida;Q1;1990;BRASIL;BRASIL;Cana-de-Açúcar;57,55555556;25900;450;450
SP;Nhandeara;Quantidade Produzida;Q1;1990;BRASIL;BRASIL;Cana-de-Açúcar;82,64180479;358996;4344;4344
SP;Franca;Quantidade Produzida;Q1;1990;BRASIL;BRASIL;Cana-de-Açúcar;72,3853211;31560;436;436
SP;Avaré;Quantidade Produzida;Q1;1990;BRASIL;BRASIL;Cana-de-Açúcar;74,27911275;1205550;16230;16230
SP;Tupã;Quantidade Produzida;Q1;1990;BRASIL;BRASIL;Cana-de-Açúcar;69,62994113;165580;2378;2378
SP;Marília;Quantidade Produzida;Q1;1990;BRASIL;BRASIL;Cana-de-Açúcar;71,44050104;684400;9580;9580
SP;Sorocaba;Quantidade Produzida;Q1;1990;BRASIL;BRASIL;Cana-de-Açúcar;73,89678106;1388890;18795;18795
SP;Ituverava;Quantidade Produzida;Q2;1990;BRASIL;BRASIL;Cana-de-Açúcar;81,32178218;1987667;24442;24442
SP;Lins;Quantidade Produzida;Q2;1990;BRASIL;BRASIL;Cana-de-Açúcar;70;1441160;20588;20588
SP;São Carlos;Quantidade Produzida;Q2;1990;BRASIL;BRASIL;Cana-de-Açúcar;74,45925926;2513000;33750;33750
SP;Rio Claro;Quantidade Produzida;Q2;1990;BRASIL;BRASIL;Cana-de-Açúcar;71,47245049;2122160;29692;29692
